"filename", "language", "JSON with Comments", "Markdown", "Log", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0bae59f2d76dc7623d3bf91635a9f0fb.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0c59260d4fe724ba338099bba4987c57.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0c782fd139d41161b77eaa686bf05bf7.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0cdfbd11f695aca995dc6567958db569.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0d2ca6e01d6728ab4fa2aee419dae673.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0d566b1e21eab79a17dbe1072b30ebe8.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0d659e6f268f4a37b20c3df586f82297.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0defea56618c284db99ece2dcb8baf4f.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0e47055228585f2c75a4fd43d909934c.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0e60396f66a1da4d0591eaa01bca67b1.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0e748482628463d59bb375f8553d4868.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\yumej\github\nikoichi\.expo\web\cache\development\babel-loader\0ef2eee14cfcf4fc33ad7bfefb76ce32.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
